sn	experiment	a11	a12	a13	a21	a22	a23	a31	a32	a33	a41	a42	a43	r11	r12	r13	r21	r22	r23	r31	r32	r33	r41	r42	r43	drecall11	drecall12	drecall13	drecall21	drecall22	drecall23	drecall31	drecall32	drecall33	drecall41	drecall42	drecall43	drecallDblExp11	drecallDblExp12	drecallDblExp13	drecallDblExp21	drecallDblExp22	drecallDblExp23	drecallDblExp31	drecallDblExp32	drecallDblExp33	drecallDblExp41	drecallDblExp42	drecallDblExp43	drecog11	drecog12	drecog13	drecog21	drecog22	drecog23	drecog31	drecog32	drecog33	drecog41	drecog42	drecog43	oriented_RED	unoriented_BLACK	delRec_Oriented	delRec_unoriented	delRec_unoriented_noCntrl
1002	1	1	0.95	1	1	1	1	0.95	1	1	1	0.95	1	781	655	692	753	623	651	734	764	696	764	773	610	0.03	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	0.01	0.002222222	 	 	 
1003	1	0.95	0.74	0.94	0.89	0.95	1	0.95	0.82	0.91	0.86	0.95	0.85	523	662	633	550	584	629	573	672	498	600	598	549	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0.05	0	0	0.05	0	0.04	0	0.05	0.05	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 
1004	1	0.93	0.83	0.95	1	0.82	0.94	1	0.75	1	1	0.94	1	746	674	613	665	672	591	732	752	607	667	762	665	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0.002222222	 	 	 
1005	1	1	1	1	0.91	0.96	1	1	0.89	1	1	1	1	760	761	746	794	823	753	715	866	770	770	850	753	0	0	0.02	0.02	0	0	0.03	0	0.03	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	0.01	0.007777778	 	 	 
1006	1	1	1	1	1	0.95	1	1	0.96	1	0.89	1	0.96	729	833	815	811	595	804	897	831	640	775	771	695	0	0	0.03	0	0.03	0.03	0	0	0	0	0.03	0	0	0	0.06	0	0	0.06	0	0	0	0.11	0	0.04	 	 	 	 	 	 	 	 	 	 	 	 	0.01	0.01	 	 	 
1007	1	1	0.84	0.92	0.73	0.93	0.76	0.86	0.81	1	0.86	0.89	0.93	412	472	457	466	446	513	511	527	395	484	506	435	0	0.04	0	0	0.02	0	0.02	0	0.02	0.03	0.02	0	0.05	0	0	0	0	0	0	0	0	0	0.11	0	 	 	 	 	 	 	 	 	 	 	 	 	0.013333333	0.012222222	 	 	 
1008	1	1	0.89	1	1	0.89	1	0.95	0.85	0.92	0.95	0.93	0.88	704	775	691	688	683	600	819	700	638	734	667	632	0.05	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.06	0.05	0.05	0	0	0.08	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	0.016666667	0.003333333	 	 	 
1009	1	0.88	1	0.83	0.9	0.94	0.94	0.82	0.91	1	0.95	0.84	0.93	596	739	699	683	705	660	642	721	624	725	684	545	0	0.03	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0.09	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0.003333333	 	 	 
1010	1	0.88	0.95	1	0.89	1	1	0.86	0.95	0.95	0.91	1	1	496	594	497	600	584	499	541	535	492	589	639	481	0	0	0	0	0	0	0	0	0.02	0	0	0.03	0.06	0.05	0.06	0	0	0	0	0.05	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	0.006666667	0.003333333	 	 	 
1011	1	0.81	0.56	0.95	0.75	0.81	0.89	0.76	0.89	0.93	0.68	0.79	0.85	502	534	483	554	512	476	525	527	429	544	505	479	0	0	0	0	0	0	0	0	0.05	0	0	0	0.06	0	0	0.06	0	0.06	0	0.05	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	0.016666667	0	 	 	 
